team,Pos,kills_per_set,blocks_per_set,reception
Kansas Wesleyan,DS,#VALUE!,#VALUE!,#VALUE!
Kansas Wesleyan,OH,44,25,51
Kansas Wesleyan,MB,14,45,1
Kansas Wesleyan,S,9,11,0
Kansas Wesleyan,OH,26,28,1
Kansas Wesleyan,OH,1,1,2
Kansas Wesleyan,S,#VALUE!,#VALUE!,#VALUE!
Kansas Wesleyan,OH,60,30,9
Kansas Wesleyan,OH,#VALUE!,#VALUE!,#VALUE!
Kansas Wesleyan,RS,63,33,1
Kansas Wesleyan,RS,11,6,0
Kansas Wesleyan,OH,#VALUE!,#VALUE!,#VALUE!
Kansas Wesleyan,MB,#VALUE!,#VALUE!,#VALUE!
Keiser,S,0,0,0
Keiser,OH,77,19,28
Keiser,OH,14,28,0
Keiser,DS/L,0,0,74
Keiser,DS,0,0,49
Keiser,OH/DS,62,14,12
Keiser,MB,19,48,0
Keiser,MB,8,30,0
Keiser,OH,24,15,0
Keiser,OH,41,30,9
Keiser,OH,17,9,35
Keiser,S,4,2,0
Keiser,MB,43,25,0
Keiser,S,21,23,1
Keiser,OH/DS,52,7,49
Keiser,MB,5,17,0
Keiser,MB,26,55,0
Keiser,S,2,0,0
Keiser,OH/DS,0,0,0
Keiser,DS/L,0,0,1
Keiser,OH,21,0,3
Kentucky Christian,DS,0,0,0
Kentucky Christian,DS,1,0,50
Kentucky Christian,S,0,0,0
Kentucky Christian,DS,4,0,0
Kentucky Christian,S,1,0,0
Kentucky Christian,S,13,19,10
Kentucky Christian,S,21,25,5
Kentucky Christian,DS,0,0,65
Kentucky Christian,OH,10,0,0
Kentucky Christian,OH,59,25,70
Kentucky Christian,OH,11,17,8
Kentucky Christian,DS,4,5,1
Kentucky Christian,MB,0,0,0
Kentucky Christian,MB,37,69,0
Kentucky Christian,MB,17,9,0
Kentucky Christian,DS,0,0,0
Kentucky Christian,MB,32,58,1
Kentucky Christian,S,44,20,16
Kentucky Christian,DS,0,0,1
La Sierra,DS/L,#VALUE!,#VALUE!,#VALUE!
La Sierra,S,5,0,0
La Sierra,OH,52,14,57
La Sierra,DS/L,0,0,4
La Sierra,RS/OH,23,20,1
La Sierra,DS/L,0,0,41
La Sierra,DS,0,0,0
La Sierra,OH,19,44,0
La Sierra,RS/OH,14,11,0
La Sierra,MB,30,42,0
La Sierra,S,5,0,0
La Sierra,OH,71,41,61
La Sierra,DS,1,0,24
La Sierra,RS/OH,8,13,0
La Sierra,OH,20,17,0
Lawrence Tech,OH,44,20,54
Lawrence Tech,OH,60,25,35
Lawrence Tech,MH,0,7,0
Lawrence Tech,MH,12,30,1
Lawrence Tech,OH,14,59,0
Lawrence Tech,MH,0,0,23
Lawrence Tech,DS,16,56,0
Lawrence Tech,OH,20,6,29
Lawrence Tech,S,44,35,2
Lawrence Tech,MH,1,0,37
Lawrence Tech,OH,48,33,18
Lawrence Tech,DS,4,5,1
Lawrence Tech,MH,18,20,0
Lewis-Clark State,OH,1,0,0
Lewis-Clark State,OH,13,0,0
Lewis-Clark State,L/DS,0,0,0
Lewis-Clark State,S,2,0,0
Lewis-Clark State,MB,13,29,0
Lewis-Clark State,OH,67,15,27
Lewis-Clark State,L/DS,0,0,65
Lewis-Clark State,OH,53,14,32
Lewis-Clark State,MB,30,70,0
Lewis-Clark State,MB,10,0,0
Lewis-Clark State,MB,11,20,0
Lewis-Clark State,L/DS,0,0,38
Lewis-Clark State,MB,20,53,0
Lewis-Clark State,RS,25,23,0
Lewis-Clark State,OH,26,21,6
Lewis-Clark State,S,0,2,0
Lewis-Clark State,L/DS,0,0,28
Lewis-Clark State,RS,50,46,0
Life,MB/RS,31,37,0
Life,S/DS,9,15,1
Life,MB,30,46,0
Life,S,5,5,0
Life,RS/OH,24,0,1
Life,OH,46,8,23
Life,DS,0,0,12
Life,RS,56,28,1
Life,DS,0,0,0
Life,MB,23,56,1
Life,UTL,12,19,0
Life,OH,38,14,23
Life,DS,0,0,34
Life,OH/OPP,38,20,10
Life,OH,0,0,0
Life,OH/RS,11,0,20
Life,OH,33,10,8
Life,MB,26,48,0
Life Pacific,LB,0,0,33
Life Pacific,S,0,0,0
Life Pacific,OH,37,18,23
Life Pacific,OH,34,39,1
Life Pacific,MB,14,51,0
Life Pacific,DS/LIB,0,0,34
Life Pacific,MB/OH,8,28,0
Life Pacific,OH,70,16,46
Life Pacific,S,1,0,0
Life Pacific,OH,49,34,0
Life Pacific,DS/LIB,0,0,1
Life Pacific,MB,28,51,1
Life Pacific,S,2,0,0
Life Pacific,S,8,1,0
Life Pacific,OH,25,17,0
Lindsey Wilson,DS,0,0,3
Lindsey Wilson,OH/RS,47,28,14
Lindsey Wilson,DS,0,0,33
Lindsey Wilson,S,2,0,0
Lindsey Wilson,S,12,24,0
Lindsey Wilson,OH,52,26,4
Lindsey Wilson,MH,43,43,2
Lindsey Wilson,OH,23,12,23
Lindsey Wilson,MH,45,58,1
Lindsey Wilson,DS,0,0,22
Lindsey Wilson,DS,35,28,20
Lindsey Wilson,S,0,0,41
Lindsey Wilson,OH,3,5,0
Lindsey Wilson,DS,34,23,0
Louisiana Christian,MB/OH,51,23,0
Louisiana Christian,MB/OH,45,12,1
Louisiana Christian,RS,55,30,26
Louisiana Christian,MB,27,48,0
Louisiana Christian,MB/OH,14,43,0
Louisiana Christian,S,2,0,2
Louisiana Christian,MB/RS,26,0,1
Louisiana Christian,MB/RS,27,14,4
Louisiana Christian,OH/OPP,34,20,5
Louisiana Christian,OH,52,13,24
Louisiana Christian,S,5,20,0
Louisiana Christian,OH,47,21,1
Louisiana Christian,MB,5,0,0
Louisiana Christian,S/DS,0,0,0
Louisiana Christian,S/DS,2,0,23
Louisiana Christian,MB/RS,20,14,0
Louisiana Christian,L,0,0,32
Lourdes,DS,0,0,66
Lourdes,OH,18,6,1
Lourdes,OH,13,23,1
Lourdes,S,4,17,0
Lourdes,S,1,4,0
Lourdes,OH,41,16,35
Lourdes,OH,33,10,13
Lourdes,OH,0,0,0
Lourdes,OH,35,22,9
Lourdes,OH,12,22,0
Lourdes,DS,0,0,0
Lourdes,MB,14,39,0
Lourdes,OH,#VALUE!,#VALUE!,#VALUE!
Lourdes,MB,24,16,0
Lourdes,MB,19,57,0
Lourdes,OH,31,19,14
Lourdes,DS,0,0,0
Lourdes,MB,26,59,0
Lourdes,MB,#VALUE!,#VALUE!,#VALUE!
Lourdes,OH,39,38,0
Lourdes,OH,57,33,62
Lourdes,OH,0,0,0
Loyola,MB,41,78,2
Loyola,S,5,1,1
Loyola,OH,40,17,61
Loyola,OH,50,24,54
Loyola,S,4,0,0
Loyola,MB,26,84,0
Loyola,OH/DS,29,15,9
Loyola,OH/DS,6,7,1
Loyola,OH,21,34,2
Loyola,RS/OH,30,34,0
Loyola,DS/L,0,3,3
Loyola,S,0,0,0
Loyola,OH/DS,9,5,0
Loyola,L/DS,1,0,56
Loyola,MB,49,60,2
Loyola,Opp/MB,19,25,1
Loyola,MB/Opp,15,60,0
Lyon,S,3,4,1
Lyon,OH,37,30,0
Lyon,DS,1,0,0
Lyon,DS,0,0,1
Lyon,DS,0,0,64
Lyon,DS,2,0,0
Lyon,OH,43,15,50
Lyon,DS,17,11,5
Lyon,MB,5,23,0
Lyon,OH,61,27,43
Lyon,OH,18,25,0
Lyon,MB,25,46,1
Lyon,S,2,0,0
Lyon,S,1,1,0
Lyon,OH,0,0,0
Madonna,MB/OH,48,61,8
Madonna,MB/OH,34,74,24
Madonna,DS,0,0,48
Madonna,OH,51,32,26
Madonna,OH/RS,30,37,11
Madonna,MB,33,43,0
Madonna,DS,0,0,0
Madonna,DS,4,0,0
Madonna,DS,0,0,12
Madonna,OH/RS,4,0,0
Madonna,S,2,0,0
Madonna,OH,44,32,20
Madonna,OH/RS,0,0,0
Madonna,MB/RS,0,0,14
Madonna,DS,0,0,0
Madonna,MB/OH,0,0,28
Madonna,S,0,0,0
Marian,MH,56,39,1
Marian,MH,23,94,0
Marian,OH,0,0,0
Marian,OH,17,14,7
Marian,MH,20,48,0
Marian,RS,53,38,0
Marian,OH,77,51,65
Marian,S/DS,2,0,0
Marian,OH,35,53,0
Marian,S,4,0,0
Marian,MH,32,76,1
Marian,DS/L,0,0,16
Marian,DS,0,0,6
Marian,OH,2,2,5
Marian,S,2,6,0
Marian,MH/RS,20,57,0
Marian,OH/RS,34,19,8
Marian,DS,0,0,44
Marian,DS,29,52,0
Marian,DS/L,#VALUE!,#VALUE!,#VALUE!
Mayville State,OH,35,23,37
Mayville State,MH,0,7,0
Mayville State,S,#VALUE!,#VALUE!,#VALUE!
Mayville State,DS,0,0,0
Mayville State,OH,41,24,1
Mayville State,DS,0,0,61
Mayville State,MH,17,51,0
Mayville State,DS,0,1,51
Mayville State,S,#VALUE!,#VALUE!,#VALUE!
Mayville State,S,6,0,0
Mayville State,S,#VALUE!,#VALUE!,#VALUE!
Mayville State,OH,#VALUE!,#VALUE!,#VALUE!
Mayville State,MH,17,61,0
Mayville State,OH,68,46,1
Mayville State,DS,#VALUE!,#VALUE!,#VALUE!
Mayville State,DS,#VALUE!,#VALUE!,#VALUE!
Mayville State,MH,43,67,0
Mayville State,DS,2,0,56
Mayville State,OPP,#VALUE!,#VALUE!,#VALUE!
Mayville State,OPP,4,14,0
Mayville State,OPP,23,14,48
Mayville State,OH,#VALUE!,#VALUE!,#VALUE!
Mayville State,S,#VALUE!,#VALUE!,#VALUE!
Mayville State,MH,#VALUE!,#VALUE!,#VALUE!
Mayville State,N/A,80,23,0
Mayville State,MH,5,17,0
Mayville State,OPP,#VALUE!,#VALUE!,#VALUE!
McPherson,DS,1,0,2
McPherson,S,16,7,1
McPherson,MB,20,7,19
McPherson,DS,31,45,0
McPherson,DS,0,0,45
McPherson,MH,0,0,0
McPherson,DS,47,35,0
McPherson,S,1,0,44
McPherson,RS,20,16,0
McPherson,OH,38,27,1
McPherson,OH,43,11,64
McPherson,S,15,5,1
McPherson,S,0,0,0
McPherson,S,0,0,0
McPherson,DS,#VALUE!,#VALUE!,#VALUE!
McPherson,OPP,0,0,0
McPherson,OPP,#VALUE!,#VALUE!,#VALUE!
McPherson,OH,16,21,1
McPherson,MB,0,0,0
Menlo,DS,0,0,6
Menlo,MB,5,30,0
Menlo,MB,14,26,0
Menlo,OH,46,18,51
Menlo,S,1,0,7
Menlo,MB,28,66,2
Menlo,LB,0,0,68
Menlo,S,6,1,0
Menlo,S,5,17,0
Menlo,S,0,0,0
Menlo,MB,31,48,1
Menlo,OH,44,21,47
Menlo,OH,37,36,2
Menlo,OH,3,0,5
Michigan-Dearborn,DS,0,0,27
Michigan-Dearborn,OH,6,3,11
Michigan-Dearborn,S/DS,0,0,39
Michigan-Dearborn,OH,7,17,0
Michigan-Dearborn,MB/RS,59,30,55
Michigan-Dearborn,DS,57,32,10
Michigan-Dearborn,MB,0,0,58
Michigan-Dearborn,MB,13,10,21
Michigan-Dearborn,MB/OH,39,70,0
Michigan-Dearborn,MB,40,94,0
Michigan-Dearborn,S,1,0,5
Mid-America Christian,OH,42,16,27
Mid-America Christian,DS,0,0,41
Mid-America Christian,MB,12,56,0
Mid-America Christian,OH,34,9,7
Mid-America Christian,S,59,34,1
Mid-America Christian,LB,1,0,78
Mid-America Christian,MB,35,38,1
Mid-America Christian,MB,51,35,0
Mid-America Christian,DS,0,0,6
Mid-America Christian,OH,39,20,24
Mid-America Christian,DS,0,0,47
Mid-America Christian,S,7,2,1
Mid-America Christian,MB,#VALUE!,#VALUE!,#VALUE!
MidAmerica Nazarene,OH,52,56,4
MidAmerica Nazarene,OH,57,32,36
MidAmerica Nazarene,S,9,12,0
MidAmerica Nazarene,MB,31,69,2
MidAmerica Nazarene,OH,0,0,39
MidAmerica Nazarene,S,25,28,0
MidAmerica Nazarene,MB,51,90,1
MidAmerica Nazarene,S,9,27,0
MidAmerica Nazarene,OH,54,33,56
MidAmerica Nazarene,DS,0,0,5
MidAmerica Nazarene,OH,0,0,37
MidAmerica Nazarene,RS,12,54,0
MidAmerica Nazarene,OH,0,0,3
MidAmerica Nazarene,S,0,0,0
MidAmerica Nazarene,RS,5,12,0
MidAmerica Nazarene,OH,0,0,0
MidAmerica Nazarene,OH,1,0,0
Middle Georgia State,N/A,6,7,5
Middle Georgia State,N/A,28,16,5
Middle Georgia State,N/A,8,23,10
Middle Georgia State,N/A,16,37,7
Middle Georgia State,N/A,3,2,20
Middle Georgia State,N/A,27,25,5
Middle Georgia State,N/A,18,17,18
Middle Georgia State,N/A,50,7,32
Middle Georgia State,N/A,42,53,18
Middle Georgia State,N/A,5,0,0
Midland,MB,20,69,0
Midland,S,0,0,0
Midland,OH,28,17,2
Midland,DS,0,0,0
Midland,S,12,28,0
Midland,OH,72,7,62
Midland,DS,0,0,0
Midland,MB,30,35,0
Midland,MB,10,12,0
Midland,RS,42,56,0
Midland,DS,0,0,0
Midland,OH,0,0,0
Midland,RS,32,16,42
Midland,MB,48,62,1
Midland,MB,29,60,0
Midland,DS,0,0,48
Midland,OH,20,0,0
Midland,RS,#VALUE!,#VALUE!,#VALUE!
Midland,OH,0,0,0
Midland,DS,47,20,16
Midland,MB,#VALUE!,#VALUE!,#VALUE!
Midland,OH,#VALUE!,#VALUE!,#VALUE!
Midland,MB,#VALUE!,#VALUE!,#VALUE!
Midland,DS,#VALUE!,#VALUE!,#VALUE!
Midland,DS,#VALUE!,#VALUE!,#VALUE!
Midland,DS,0,0,12
Midland,DS,#VALUE!,#VALUE!,#VALUE!
Midland,S,#VALUE!,#VALUE!,#VALUE!
Midway,RS,14,5,0
Midway,S,0,0,0
Midway,DS,0,0,9
Midway,S,1,0,0
Midway,OH,45,15,35
Midway,MH,2,14,0
Midway,MB,15,12,0
Midway,MB,25,47,0
Midway,DS,0,0,0
Midway,RS,32,47,2
Midway,RS,0,0,40
Midway,OH,#VALUE!,#VALUE!,#VALUE!
Midway,OH,6,2,4
Milligan,DS,1,0,52
Milligan,OH,10,9,36
Milligan,OH,32,10,0
Milligan,DS,0,0,28
Milligan,S,15,22,0
Milligan,MB,5,8,0
Milligan,MB,51,84,2
Milligan,RS,10,12,0
Milligan,MB,29,49,6
Milligan,RS/S,32,23,21
Milligan,DS,0,0,5
Milligan,DS,0,0,25
Milligan,OH,60,31,7
Missouri Baptist,LB,36,9,30
Missouri Baptist,LB,0,0,28
Missouri Baptist,S,3,9,0
Missouri Baptist,OH,47,16,45
Missouri Baptist,RS,30,25,6
Missouri Baptist,MB,41,38,0
Missouri Baptist,S,20,48,0
Missouri Baptist,OH,22,25,46
Missouri Baptist,RS,55,29,0
Missouri Baptist,DS,1,0,0
Missouri Baptist,MB,35,43,0
Missouri Baptist,MB,67,67,0
Missouri Baptist,S,0,0,0
Missouri Baptist,S,7,12,0
Missouri Baptist,DS,0,0,0
Missouri Baptist,OH,40,9,9
Missouri Baptist,MB,15,81,0
Missouri Baptist,MB,22,52,0
Missouri Valley,MB,30,44,5
Missouri Valley,MB,12,13,0
Missouri Valley,S,9,7,1
Missouri Valley,OH,0,0,1
Missouri Valley,MB,25,28,2
Missouri Valley,DS,0,0,57
Missouri Valley,S,1,14,0
Missouri Valley,OH,13,0,0
Missouri Valley,OPP,47,25,0
Missouri Valley,MB,11,19,0
Missouri Valley,OH,46,15,56
Missouri Valley,OPP,4,0,0
Missouri Valley,OH,41,12,47
Missouri Valley,OPP,16,27,1
Missouri Valley,LB,0,0,47
Missouri Valley,S,0,0,0
Missouri Valley,OH,49,15,32
Missouri Valley,OH,23,12,0
Mobile,OH,50,15,25
Mobile,OH,24,12,5
Mobile,S/OH,31,23,1
Mobile,L/DS,0,1,48
Mobile,DS/L,0,0,27
Mobile,OH,0,0,5
Mobile,DS/L,3,0,0
Mobile,S,37,38,2
Mobile,DS/L,0,0,2
Mobile,OH,49,25,60
Mobile,MB,21,7,0
Mobile,OH,0,0,0
Mobile,MB,14,43,0
Mobile,MB,29,52,2
Mobile,S,1,0,0
Mobile,MB,13,11,0
Mobile,DS/L,0,0,0
Mobile,DS/L,0,7,1
Mobile,JR,0,1,0
Mobile,DS/L,0,0,1
Mobile,MB,35,58,1
Montana State-Northern,DS/L,0,2,26
Montana State-Northern,DS/L,0,0,28
Montana State-Northern,MB,3,17,0
Montana State-Northern,OH/RS,49,43,0
Montana State-Northern,S,25,5,25
Montana State-Northern,OH,#VALUE!,#VALUE!,#VALUE!
Montana State-Northern,OH/DS,35,18,17
Montana State-Northern,DS,0,0,51
Montana State-Northern,OH/RS,56,14,23
Montana State-Northern,MB,47,64,6
Montana State-Northern,MB,9,10,0
Montana State-Northern,MB,16,45,1
Montana State-Northern,S,23,38,1
Montana Tech,DS,0,0,8
Montana Tech,OH,78,39,46
Montana Tech,MH,19,61,0
Montana Tech,OH,48,43,2
Montana Tech,S,0,0,26
Montana Tech,MB,5,11,4
Montana Tech,MH,44,84,0
Montana Tech,S,9,24,0
Montana Tech,LB,0,0,19
Montana Tech,MB,32,48,0
Montana Tech,LB,0,0,48
Montana Tech,S,2,10,0
Montana Tech,MB,3,12,0
Montana Tech,OH,34,14,7
Montana Tech,LB,0,0,50
Montana Tech,LB,0,0,0
Montana Tech,OH,7,28,0
Montana Western,DS,2,0,29
Montana Western,RS,0,0,0
Montana Western,LB,0,0,48
Montana Western,DS,0,0,1
Montana Western,OH,9,0,2
Montana Western,OH,51,21,48
Montana Western,MB,41,70,0
Montana Western,DS,0,0,1
Montana Western,OH,56,26,40
Montana Western,MB,38,65,0
Montana Western,MB,23,37,0
Montana Western,MB,31,38,0
Montana Western,S,0,0,5
Montana Western,OH,10,0,0
Montana Western,S,0,0,0
Montana Western,RS,30,38,0
Montana Western,LB,0,0,7
Montana Western,S,5,12,0
Montreat,OH,#VALUE!,#VALUE!,#VALUE!
Montreat,RS,#VALUE!,#VALUE!,#VALUE!
Montreat,OH,24,57,0
Montreat,DS,#VALUE!,#VALUE!,#VALUE!
Montreat,DS,0,0,11
Montreat,DS,0,0,50
Montreat,DS,#VALUE!,#VALUE!,#VALUE!
Montreat,RS,#VALUE!,#VALUE!,#VALUE!
Montreat,OH,71,12,48
Montreat,DS,0,0,74
Montreat,OH,#VALUE!,#VALUE!,#VALUE!
Montreat,S,2,0,0
Montreat,OH,27,48,0
Montreat,DS,#VALUE!,#VALUE!,#VALUE!
Montreat,OH,#VALUE!,#VALUE!,#VALUE!
Montreat,S,0,0,0
Montreat,DS,0,0,1
Montreat,OH,27,31,2
Montreat,OH,0,0,0
Montreat,RS,#VALUE!,#VALUE!,#VALUE!
Montreat,S,0,0,0
Montreat,OH,28,26,0
Montreat,MB,19,56,0
Montreat,S,2,5,0
Montreat,MB,#VALUE!,#VALUE!,#VALUE!
Montreat,S,#VALUE!,#VALUE!,#VALUE!
Montreat,OH,56,19,36
Montreat,DS,0,0,2
Morningside,DS,0,0,55
Morningside,OH,47,15,22
Morningside,DS,0,0,31
Morningside,MH,17,53,1
Morningside,S,13,25,0
Morningside,OH,0,0,0
Morningside,MH,23,53,2
Morningside,OH,77,25,71
Morningside,OH,#VALUE!,#VALUE!,#VALUE!
Morningside,S,1,0,16
Morningside,MH,10,19,0
Morningside,MH,0,0,0
Morningside,OPP,5,0,0
Morningside,OH,0,0,0
Morningside,S,6,0,0
Morningside,S,#VALUE!,#VALUE!,#VALUE!
Morningside,MH,0,17,0
Morningside,DS,#VALUE!,#VALUE!,#VALUE!
Morningside,OH,50,30,4
Morningside,DS,#VALUE!,#VALUE!,#VALUE!
Morningside,DS,0,0,8
Morningside,OH,8,7,1
Morningside,OH,16,2,22
Morningside,OH,#VALUE!,#VALUE!,#VALUE!
Morningside,OPP,6,0,0
Mount Marty,DS,0,0,38
Mount Marty,S,0,0,0
Mount Marty,DS,0,0,7
Mount Marty,DS,0,0,38
Mount Marty,OH,52,25,30
Mount Marty,DS,2,0,42
Mount Marty,S,4,2,1
Mount Marty,OH,46,13,0
Mount Marty,DS,0,35,0
Mount Marty,MH,46,33,2
Mount Marty,MH,12,42,0
Mount Marty,OH,25,15,12
Mount Marty,OH,#VALUE!,#VALUE!,#VALUE!
Mount Marty,OH,1,0,1
Mount Marty,DS,1,0,0
Mount Marty,MH,35,56,4
Mount Marty,S,0,0,0
Mount Marty,OH,18,30,3
Mount Marty,RS,14,16,4
Mount Marty,S,#VALUE!,#VALUE!,#VALUE!
Mount Marty,OH,#VALUE!,#VALUE!,#VALUE!
Mount Mercy,DS,0,0,7
Mount Mercy,DS,0,0,0
Mount Mercy,DS,0,0,52
Mount Mercy,OH,4,19,0
Mount Mercy,OH,61,24,46
Mount Mercy,MB,41,27,38
Mount Mercy,OPP,15,10,18
Mount Mercy,OH,20,0,0
Mount Mercy,OH,49,56,2
Mount Mercy,MB/OPP,#VALUE!,#VALUE!,#VALUE!
Mount Mercy,S,#VALUE!,#VALUE!,#VALUE!
Mount Mercy,OPP,26,12,13
Multnomah,OH,25,17,0
Multnomah,S,2,2,1
Multnomah,DS,3,0,0
Multnomah,OH,44,17,42
Multnomah,OH,30,12,22
Multnomah,S,0,0,0
Multnomah,S,0,0,0
Multnomah,MB,10,35,0
Multnomah,DS,0,0,38
Multnomah,OH,34,33,0
Multnomah,MB,13,41,0
Multnomah,DS,0,0,2
Multnomah,DS,0,0,0
Multnomah,MB,9,34,0
Multnomah,LB,0,0,8
Multnomah,OH,6,2,37
Multnomah,S,#VALUE!,#VALUE!,#VALUE!
Northwest (WA),OH,46,19,3
Northwest (WA),OH,15,4,63
Northwest (WA),K,0,0,0
Northwest (WA),S,0,0,0
Northwest (WA),DS/L,0,0,53
Northwest (WA),DS/L,0,0,17
Northwest (WA),S,0,0,0
Northwest (WA),OH,12,14,0
Northwest (WA),S,3,9,0
Northwest (WA),MB,22,41,0
Northwest (WA),MB,61,57,2
Northwest (WA),OH/MB,0,0,0
Northwest (WA),OH,4,0,0
Northwest (WA),DS/L,0,0,60
Northwest (WA),MB,26,26,1
Northwest (WA),OH,45,12,3
Northwest (WA),OH,34,41,3
Northwest (WA),MB,5,22,0
Northwest (WA),MB,26,48,0
Northwestern,DS,0,0,1
Northwestern,DS,0,0,12
Northwestern,S,1,0,0
Northwestern,DS,0,0,37
Northwestern,DS,0,0,0
Northwestern,RS,19,40,0
Northwestern,DS,0,0,17
Northwestern,RS,#VALUE!,#VALUE!,#VALUE!
Northwestern,S,8,23,0
Northwestern,OH,24,15,0
Northwestern,OH,71,13,44
Northwestern,S,0,0,0
Northwestern,OH,72,42,63
Northwestern,MH,32,71,2
Northwestern,MH,6,0,0
Northwestern,RS,17,62,1
Northwestern,MH,55,96,3
Northwestern,MH,3,55,0
Northwestern,RS,12,43,0
Oakland City,DS,0,0,29
Oakland City,DS,0,0,32
Oakland City,DS,1,0,40
Oakland City,OH,36,28,22
Oakland City,OH,#VALUE!,#VALUE!,#VALUE!
Oakland City,DS,46,7,30
Oakland City,S,36,14,7
Oakland City,S,4,0,1
Oakland City,MH,17,23,1
Oakland City,MH,38,50,0
Oakland City,S,8,11,0
Oakland City,MH,21,38,1
Oakland City,MH,6,15,0
Oakwood,Libero/Settr,#VALUE!,#VALUE!,#VALUE!
Oakwood,RS/MH,#VALUE!,#VALUE!,#VALUE!
Oakwood,Setter,#VALUE!,#VALUE!,#VALUE!
Oakwood,Libero,#VALUE!,#VALUE!,#VALUE!
Oakwood,OH,#VALUE!,#VALUE!,#VALUE!
Oakwood,OH,#VALUE!,#VALUE!,#VALUE!
Oakwood,OH,#VALUE!,#VALUE!,#VALUE!
Oakwood,OH,#VALUE!,#VALUE!,#VALUE!
Oakwood,RS/MH,#VALUE!,#VALUE!,#VALUE!
Oakwood,Libero,#VALUE!,#VALUE!,#VALUE!
Oakwood,MB,#VALUE!,#VALUE!,#VALUE!
Ohio Christian,DS,0,0,55
Ohio Christian,S,4,6,0
Ohio Christian,DS,2,0,24
Ohio Christian,MB,0,0,0
Ohio Christian,MB,61,47,3
Ohio Christian,OH/DS,17,53,0
Ohio Christian,DS,33,8,23
Ohio Christian,OH/DS,1,0,48
Ohio Christian,OH/RS,37,11,34
Ohio Christian,DS,31,27,1
Ohio Christian,RS/S,3,12,0
Ohio Christian,OH/RS,23,30,0
Ohio Christian,DS,7,8,0
Ohio Christian,DS,19,30,0
Ohio Christian,MB,4,0,23
Ohio Christian,S,0,0,0
Oklahoma City,MB/OH,13,17,0
Oklahoma City,DS/Libero,0,0,64
Oklahoma City,MB/OH,26,34,0
Oklahoma City,S,0,0,0
Oklahoma City,DS/Libero,0,0,0
Oklahoma City,OH,19,36,11
Oklahoma City,OH,2,0,5
Oklahoma City,MB,56,48,69
Oklahoma City,S,7,1,1
Oklahoma City,OH/RSH,35,27,25
